E(eV),dos(E),pdos(E)
-7.235999999999999766e+00,3.410000000000000142e+00,3.399999999999999911e+00
-7.225999999999999979e+00,3.450000000000000178e+00,3.450000000000000178e+00
-7.216000000000000192e+00,3.500000000000000000e+00,3.490000000000000213e+00
-7.206000000000000405e+00,3.540000000000000036e+00,3.529999999999999805e+00
-7.195999999999999730e+00,3.569999999999999840e+00,3.569999999999999840e+00
-7.185999999999999943e+00,3.609999999999999876e+00,3.600000000000000089e+00
-7.176000000000000156e+00,3.640000000000000124e+00,3.629999999999999893e+00
-7.166000000000000369e+00,3.660000000000000142e+00,3.660000000000000142e+00
-7.155999999999999694e+00,3.689999999999999947e+00,3.680000000000000160e+00
-7.145999999999999908e+00,3.709999999999999964e+00,3.700000000000000178e+00
-7.136000000000000121e+00,3.720000000000000195e+00,3.720000000000000195e+00
-7.126000000000000334e+00,3.740000000000000213e+00,3.729999999999999982e+00
-7.115999999999999659e+00,3.750000000000000000e+00,3.740000000000000213e+00
-7.105999999999999872e+00,3.759999999999999787e+00,3.750000000000000000e+00
-7.096000000000000085e+00,3.759999999999999787e+00,3.750000000000000000e+00
-7.086000000000000298e+00,3.759999999999999787e+00,3.750000000000000000e+00
-7.075999999999999623e+00,3.759999999999999787e+00,3.750000000000000000e+00
-7.065999999999999837e+00,3.759999999999999787e+00,3.750000000000000000e+00
-7.056000000000000050e+00,3.750000000000000000e+00,3.740000000000000213e+00
-7.046000000000000263e+00,3.740000000000000213e+00,3.729999999999999982e+00
-7.035999999999999588e+00,3.729999999999999982e+00,3.720000000000000195e+00
-7.025999999999999801e+00,3.720000000000000195e+00,3.709999999999999964e+00
-7.016000000000000014e+00,3.700000000000000178e+00,3.689999999999999947e+00
-7.006000000000000227e+00,3.680000000000000160e+00,3.680000000000000160e+00
-6.996000000000000441e+00,3.669999999999999929e+00,3.660000000000000142e+00
-6.985999999999999766e+00,3.649999999999999911e+00,3.640000000000000124e+00
-6.975999999999999979e+00,3.629999999999999893e+00,3.620000000000000107e+00
-6.966000000000000192e+00,3.609999999999999876e+00,3.600000000000000089e+00
-6.956000000000000405e+00,3.589999999999999858e+00,3.580000000000000071e+00
-6.945999999999999730e+00,3.560000000000000053e+00,3.560000000000000053e+00
-6.935999999999999943e+00,3.540000000000000036e+00,3.529999999999999805e+00
-6.926000000000000156e+00,3.520000000000000018e+00,3.509999999999999787e+00
-6.916000000000000369e+00,3.500000000000000000e+00,3.490000000000000213e+00
-6.905999999999999694e+00,3.470000000000000195e+00,3.470000000000000195e+00
-6.895999999999999908e+00,3.450000000000000178e+00,3.450000000000000178e+00
-6.886000000000000121e+00,3.430000000000000160e+00,3.430000000000000160e+00
-6.876000000000000334e+00,3.410000000000000142e+00,3.410000000000000142e+00
-6.865999999999999659e+00,3.390000000000000124e+00,3.390000000000000124e+00
-6.855999999999999872e+00,3.379999999999999893e+00,3.370000000000000107e+00
-6.846000000000000085e+00,3.359999999999999876e+00,3.350000000000000089e+00
-6.836000000000000298e+00,3.339999999999999858e+00,3.339999999999999858e+00
-6.825999999999999623e+00,3.330000000000000071e+00,3.319999999999999840e+00
-6.815999999999999837e+00,3.319999999999999840e+00,3.310000000000000053e+00
-6.806000000000000050e+00,3.310000000000000053e+00,3.299999999999999822e+00
-6.796000000000000263e+00,3.299999999999999822e+00,3.290000000000000036e+00
-6.785999999999999588e+00,3.299999999999999822e+00,3.290000000000000036e+00
-6.775999999999999801e+00,3.290000000000000036e+00,3.290000000000000036e+00
-6.766000000000000014e+00,3.290000000000000036e+00,3.279999999999999805e+00
-6.756000000000000227e+00,3.290000000000000036e+00,3.290000000000000036e+00
-6.746000000000000441e+00,3.299999999999999822e+00,3.290000000000000036e+00
-6.735999999999999766e+00,3.310000000000000053e+00,3.299999999999999822e+00
-6.725999999999999979e+00,3.319999999999999840e+00,3.310000000000000053e+00
-6.716000000000000192e+00,3.330000000000000071e+00,3.319999999999999840e+00
-6.706000000000000405e+00,3.350000000000000089e+00,3.339999999999999858e+00
-6.695999999999999730e+00,3.370000000000000107e+00,3.359999999999999876e+00
-6.685999999999999943e+00,3.399999999999999911e+00,3.390000000000000124e+00
-6.676000000000000156e+00,3.419999999999999929e+00,3.419999999999999929e+00
-6.666000000000000369e+00,3.459999999999999964e+00,3.450000000000000178e+00
-6.655999999999999694e+00,3.500000000000000000e+00,3.490000000000000213e+00
-6.645999999999999908e+00,3.540000000000000036e+00,3.529999999999999805e+00
-6.636000000000000121e+00,3.580000000000000071e+00,3.580000000000000071e+00
-6.626000000000000334e+00,3.629999999999999893e+00,3.629999999999999893e+00
-6.615999999999999659e+00,3.689999999999999947e+00,3.680000000000000160e+00
-6.605999999999999872e+00,3.750000000000000000e+00,3.740000000000000213e+00
-6.596000000000000085e+00,3.819999999999999840e+00,3.810000000000000053e+00
-6.586000000000000298e+00,3.890000000000000124e+00,3.879999999999999893e+00
-6.575999999999999623e+00,3.970000000000000195e+00,3.959999999999999964e+00
